id,seq,delay
node-1-1015236104,0,403
node-2-1231657093,0,454
node-3-3016497271,0,466
node-6-3162930540,0,276
node-1-1015236104,1,276
node-9-1948562326,0,274
node-2-1231657093,1,282
node-7-2571853762,0,311
node-3-3016497271,1,355
node-8-2440567557,0,490
node-6-3162930540,1,169
node-1-1015236104,2,168
node-9-1948562326,1,160
node-7-2571853762,1,207
node-2-1231657093,2,206
node-3-3016497271,2,233
node-8-2440567557,1,234
node-6-3162930540,2,169
node-9-1948562326,2,159
node-7-2571853762,2,207
node-2-1231657093,3,206
node-3-3016497271,3,232
node-8-2440567557,2,231
node-1-1015236104,3,443
node-6-3162930540,3,164
node-1-1015236104,4,165
node-9-1948562326,3,160
node-7-2571853762,3,208
node-2-1231657093,4,207
node-3-3016497271,4,233
node-8-2440567557,3,232
node-1-1015236104,5,169
node-6-3162930540,4,180
node-9-1948562326,4,159
node-7-2571853762,4,210
node-2-1231657093,5,207
node-3-3016497271,5,232
node-8-2440567557,4,231
node-6-3162930540,5,171
node-9-1948562326,5,159
node-7-2571853762,5,206
node-2-1231657093,6,206
node-3-3016497271,6,231
node-8-2440567557,5,231
node-1-1015236104,6,409
node-6-3162930540,6,168
node-1-1015236104,7,169
node-9-1948562326,6,159
node-7-2571853762,6,206
node-2-1231657093,7,206
node-3-3016497271,7,231
node-8-2440567557,6,231
node-6-3162930540,7,164
node-1-1015236104,8,164
node-9-1948562326,7,160
node-7-2571853762,7,186
node-2-1231657093,8,210
node-3-3016497271,8,232
node-8-2440567557,7,230
node-6-3162930540,8,170
node-1-1015236104,9,172
node-9-1948562326,8,158
node-7-2571853762,8,206
node-2-1231657093,9,206
node-3-3016497271,9,230
node-8-2440567557,8,232
node-6-3162930540,9,163
node-1-1015236104,10,165
node-9-1948562326,9,158
node-7-2571853762,9,207
node-2-1231657093,10,205
node-3-3016497271,10,231
node-8-2440567557,9,230
node-6-3162930540,10,171
node-1-1015236104,11,171
node-9-1948562326,10,157
node-7-2571853762,10,187
node-2-1231657093,11,205
node-3-3016497271,11,231
node-8-2440567557,10,230
node-6-3162930540,11,167
node-9-1948562326,11,159
node-7-2571853762,11,206
node-2-1231657093,12,207
node-1-1015236104,12,367
node-3-3016497271,12,230
node-8-2440567557,11,231
node-6-3162930540,12,173
node-1-1015236104,13,171
node-9-1948562326,12,158
node-7-2571853762,12,206
node-2-1231657093,13,207
node-3-3016497271,13,231
node-8-2440567557,12,231
node-6-3162930540,13,166
node-1-1015236104,14,170
node-9-1948562326,13,158
node-7-2571853762,13,207
node-2-1231657093,14,207
node-3-3016497271,14,230
node-8-2440567557,13,229
node-6-3162930540,14,169
node-1-1015236104,15,170
node-9-1948562326,14,158
node-7-2571853762,14,207
node-2-1231657093,15,205
node-3-3016497271,15,231
node-8-2440567557,14,230
node-1-1015236104,16,169
node-6-3162930540,15,184
node-9-1948562326,15,161
node-7-2571853762,15,206
node-2-1231657093,16,206
node-3-3016497271,16,231
node-8-2440567557,15,230
node-1-1015236104,17,164
